"","nFert","nEggs","nSperm"
"1",17,100,177300000
"2",40,83,221300000
"3",48,79,266000000
"4",13,90,132600000
"5",11,76,88660000
"6",8,100,43960000
"7",19,49,153100000
"8",11,50,204100000
"9",9,57,102000000
"10",28,48,306100000
"11",9,55,51020000
"12",28,62,255100000
"13",13,74,65420000
"14",7,54,32710000
"15",10,65,98140000
"16",14,51,163600000
"17",24,54,196300000
"18",13,53,130800000
"19",41,66,173900000
"20",19,59,144900000
"21",20,69,86940000
"22",8,63,28980000
"23",17,64,115900000
"24",4,70,57960000
"25",53,89,4762000
"26",11,91,4762000
"27",28,100,4762000
"28",29,100,4762000
"29",14,100,4762000
"30",27,100,4762000
"31",22,100,58470000
"32",66,100,292400000
"33",38,100,116900000
"34",42,100,233900000
"35",87,100,350800000
"36",52,100,175400000
"37",40,100,53590000
"38",47,100,80390000
"39",38,100,26800000
"40",67,100,160800000
"41",54,100,107200000
"42",60,100,134000000
"43",70,100,192300000
"44",53,100,160300000
"45",24,100,64110000
"46",36,100,128200000
"47",51,100,96170000
"48",22,100,32060000
