Ind,Run,Start,End,Dur
1,1,00:01:34.87,00:09:39.05,00:08:04.18
2,1,00:00:00.00,00:07:47.84,00:07:47.84
3,1,00:00:00.00,00:08:37.49,00:08:37.49
4,1,00:01:06.85,00:10:04.48,00:08:57.63
5,2,00:08:37.49,00:13:47.26,00:05:09.77
6,2,00:10:04.48,00:14:26.90,00:04:22.42
7,2,00:01:39.71,00:08:37.49,00:06:57.78
8,2,00:10:04.48,00:17:32.39,00:07:27.91
9,2,00:12:57.30,00:18:39.90,00:05:42.60
10,3,00:00:00.00,00:04:05.11,00:04:05.11
11,3,00:01:05.57,00:05:39.42,00:04:33.85
12,3,00:11:51.77,00:15:25.29,00:03:33.52
13,3,00:05:39.42,00:10:22.17,00:04:42.75
14,3,00:01:45.47,00:08:11.82,00:06:26.35
15,3,00:01:45.47,00:08:59.63,00:07:14.16
16,4,00:00:00.00,00:05:43.46,00:05:43.46
17,4,00:01:07.88,00:08:00.06,00:06:52.18
18,4,00:08:58.60,00:15:22.60,00:06:24.00
19,4,00:00:20.67,00:04:13.01,00:03:52.34
20,4,00:00:20.67,00:08:00.06,00:07:39.39
21,5,00:02:20.06,00:07:26.98,00:05:06.92
22,5,00:01:48.66,00:08:36.37,00:06:47.71
23,5,00:02:20.06,00:06:25.28,00:04:05.22
24,5,00:07:26.98,00:13:17.59,00:05:50.61
25,5,00:02:20.06,00:05:03.54,00:02:43.48
26,5,00:06:25.28,00:10:27.95,00:04:02.67
