ind,start,end,duration,wbm
1,00:00:00.00,00:02:22.86,00:02:22.86,0.0038
2,00:03:27.72,00:05:50.59,00:02:22.87,0.02383
3,00:00:00.00,00:04:16.04,00:04:16.04,0.01891
4,00:00:00.00,00:02:30.16,00:02:30.16,0.01189
5,00:00:00.00,00:02:14.44,00:02:14.44,0.00787
6,00:00:00.00,00:04:20.41,00:04:20.41,0.01043
7,00:00:00.00,00:02:53.02,00:02:53.02,0.0134
8,00:00:00.00,00:02:27.25,00:02:27.25,0.01109
9,00:00:00.00,00:02:39.61,00:02:39.61,0.01221
10,00:00:00.00,00:04:05.05,00:04:05.05,0.0144
11,00:00:00.00,00:02:34.46,00:02:34.46,0.01924
12,00:00:00.00,00:01:57.87,00:01:57.87,0.01276
13,00:00:00.00,00:02:25.70,00:02:25.70,0.01177
14,00:00:00.00,00:03:22.76,00:03:22.76,0.0203
15,00:00:00.00,00:01:50.13,00:01:50.13,0.01144
16,00:00:00.00,00:02:50.60,00:02:50.60,0.02068
17,00:00:00.00,00:02:32.35,00:02:32.35,0.01466
18,00:00:00.00,00:02:54.37,00:02:54.37,0.01512
19,00:00:00.00,00:02:01.98,00:02:01.98,0.01601
20,00:00:00.00,00:01:53.91,00:01:53.91,0.01828
