Date,Pic,Block,ind,sperm,HL,HW,WBM
14/08/15,722,1,1,1,30.555,19.351,0.032
14/08/15,722,1,1,2,28.599,17.973,0.032
14/08/15,722,1,1,3,30.157,18.567,0.032
14/08/15,722,1,1,4,30.712,18.194,0.032
14/08/15,722,1,1,5,28.919,18.208,0.032
14/08/15,722,1,1,6,26.397,19.529,0.032
14/08/15,722,1,1,7,31.314,18.04,0.032
14/08/15,722,1,1,8,26.342,19.003,0.032
14/08/15,722,1,1,9,29.648,19.163,0.032
14/08/15,722,1,1,10,30.335,19.833,0.032
14/08/15,722,1,1,11,33.386,18.822,0.032
14/08/15,722,1,1,12,25.852,19.174,0.032
14/08/15,722,1,1,13,24.678,17.805,0.032
14/08/15,724,1,3,1,27.993,19.574,0.015
14/08/15,724,1,3,2,30.154,17.724,0.015
14/08/15,724,1,3,3,28.566,18.168,0.015
14/08/15,724,1,3,4,34.434,15.55,0.015
14/08/15,724,1,3,5,29.274,20.117,0.015
14/08/15,724,1,3,6,25.226,14.95,0.015
14/08/15,724,1,3,7,29.633,18.923,0.015
14/08/15,724,1,3,8,31.139,18.312,0.015
14/08/15,724,1,3,9,27.883,16.553,0.015
14/08/15,724,1,3,10,27.54,16.826,0.015
14/08/15,724,1,3,11,27.199,16.59,0.015
14/08/15,724,1,3,12,27.203,18.187,0.015
14/08/15,724,1,3,13,25.48,17.007,0.015
14/08/15,725,1,4,1,33.148,16.378,0.009
14/08/15,725,1,4,2,32.868,18.375,0.009
14/08/15,725,1,4,3,31.876,19.379,0.009
14/08/15,725,1,4,4,22.129,18.514,0.009
14/08/15,725,1,4,5,31.04,15.565,0.009
14/08/15,725,1,4,6,32.258,19.469,0.009
14/08/15,725,1,4,7,28.453,16.574,0.009
14/08/15,725,1,4,8,32.259,19.269,0.009
14/08/15,725,1,4,9,27.058,16.95,0.009
14/08/15,726,1,5,1,29.367,13.437,0.014
14/08/15,726,1,5,2,27.333,14.368,0.014
14/08/15,726,1,5,3,32.648,17.221,0.014
14/08/15,726,1,5,4,27.893,16.334,0.014
14/08/15,726,1,5,5,24.357,14.089,0.014
14/08/15,726,1,5,6,24.883,14.837,0.014
14/08/15,726,1,5,7,29.865,16.584,0.014
14/08/15,726,1,5,8,28.595,14.809,0.014
14/08/15,726,1,5,9,31.054,17.468,0.014
14/08/15,726,1,5,10,32.573,15.837,0.014
14/08/15,726,1,5,11,27.84,17.557,0.014
14/08/15,726,1,5,12,25.114,15.45,0.014
14/08/15,726,1,5,13,27.895,16.635,0.014
14/08/15,727,1,6,1,27.28,15.902,0.022
14/08/15,727,1,6,2,28.86,16.499,0.022
14/08/15,727,1,6,3,26.907,16.776,0.022
14/08/15,727,1,6,4,29.242,14.472,0.022
14/08/15,727,1,6,5,28.476,15.092,0.022
14/08/15,727,1,6,6,30.792,15.478,0.022
14/08/15,727,1,6,7,30.176,14.545,0.022
14/08/15,727,1,6,8,27.866,15.518,0.022
14/08/15,727,1,6,9,32.662,16.882,0.022
14/08/15,727,1,6,10,32.811,17.545,0.022
14/08/15,727,1,6,11,34.173,19.276,0.022
14/08/15,727,1,6,12,27.15,16.653,0.022
14/08/15,727,1,6,13,29.319,14.921,0.022
14/08/15,727,1,6,14,28.43,15.135,0.022
14/08/15,278,1,7,1,28.222,18.213,0.018
14/08/15,278,1,7,2,32.114,17.324,0.018
14/08/15,278,1,7,3,32.902,18.945,0.018
14/08/15,278,1,7,4,26.505,16.962,0.018
14/08/15,278,1,7,5,32.268,18.168,0.018
14/08/15,278,1,7,6,33.512,17.002,0.018
14/08/15,278,1,7,7,30.968,19.494,0.018
14/08/15,279,1,8,1,32.202,16.15,0.009
14/08/15,279,1,8,2,31.051,17.481,0.009
14/08/15,279,1,8,3,32.151,14.641,0.009
14/08/15,279,1,8,4,28.192,16.662,0.009
14/08/15,279,1,8,5,32.114,16.771,0.009
14/08/15,279,1,8,6,31.18,16.821,0.009
14/08/15,279,1,8,7,29.152,14.94,0.009
14/08/15,279,1,8,8,31.112,16.026,0.009
14/08/15,279,1,8,9,30.107,16.676,0.009
14/08/15,279,1,8,10,30.873,17.325,0.009
14/08/15,279,1,8,11,29.509,15.89,0.009
14/08/15,279,1,8,12,31.751,17.14,0.009
14/08/15,279,1,8,13,31.035,18.327,0.009
14/08/15,279,1,8,14,31.17,17.295,0.009
